model,scenario,verbalized_posthoc
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_cost_benefit_002,0.4
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_cost_benefit_003,0.4
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_cost_benefit_004,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_cost_benefit_005,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_fault_001,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_fault_002,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_fault_003,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_fault_004,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_fault_005,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_fault_006,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_fault_007,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_fault_008,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_fault_009,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_fault_010,0.6
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_fault_011,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_fault_012,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_fault_013,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_fault_014,0.6
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_fault_015,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_rul_001,0.4
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_rul_002,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_rul_003,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_rul_004,0.6
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_rul_005,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_rul_006,0.4
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_rul_007,0.4
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_rul_008,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_rul_009,0.4
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_rul_010,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_rul_011,0.6
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_rul_012,0.4
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_rul_013,0.2
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_rul_014,0.4
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_rul_015,0.6
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_safety_001,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_safety_002,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_safety_003,0.2
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_safety_004,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_safety_005,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_safety_006,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_safety_007,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_safety_008,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_safety_009,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_safety_010,0.0
openai_openai_gpt-oss-120b,engine_health_combined_022,0.0
openai_openai_gpt-oss-120b,pdm_safety_003,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_001,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_002,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_003,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_004,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_005,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_006,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_007,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_008,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_009,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_010,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_011,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_012,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_013,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_014,0.3
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_015,0.2
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_016,0.2
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_017,0.6
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_018,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_019,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_020,0.2
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_021,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_022,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_023,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_024,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_025,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_026,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_027,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_028,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_029,0.3
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,engine_health_combined_030,0.6
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_cost_benefit_001,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_cost_benefit_002,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_cost_benefit_003,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_cost_benefit_004,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_cost_benefit_005,0.6
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_fault_001,0.2
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_fault_002,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_fault_003,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_fault_004,0.6
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_fault_005,0.5
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_fault_006,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_fault_007,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_fault_008,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_fault_009,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_fault_010,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_fault_011,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_fault_012,0.2
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_fault_013,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_fault_014,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_fault_015,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_rul_001,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_rul_002,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_rul_003,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_rul_004,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_rul_005,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_rul_006,0.2
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_rul_007,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_rul_008,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_rul_009,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_rul_010,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_rul_011,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_rul_012,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_rul_013,0.5
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_rul_014,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_rul_015,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_safety_001,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_safety_002,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_safety_003,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_safety_004,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_safety_005,0.7
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_safety_006,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_safety_007,0.6
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_safety_008,0.85
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_safety_009,0.6
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,pdm_safety_010,0.85
